bigrama,frecuencia
inmigrantes españa,20
orgullo gay,20
oportunidades laborales,20
like this,20
happy new,20
cristo rey,20
viajar españa,20
trabajar vivir,20
adúlteros afeminados,19
pasaporte español,19
saludos colombia,19
saludos méxico,19
ama pecador,19
seres queridos,19
trabajar duro,19
abascal usted,19
policía nacional,19
biblia dios,19
quiero irme,19
llevo españa,19
vox defiende,19
dios camino,19
españa santiago,19
injustos heredarán,19
varias veces,19
trabajar galicia,19
bde move,19
comunidad lgtb,19
vaya tela,19
violencia género,19
color piel,19
vale pena,19
buen vídeo,19
carta invitación,19
daniel gay,19
resto partidos,19
buscar dios,19
puerto rico,19
venir españa,19
ningún partido,19
propio país,19
mayoría absoluta,19
triste realidad,18
razón santo,18
quiero trabajar,18
deja vivir,18
bajo sonido,18
inmigrante ilegal,18
this one,18
abascal razón,18
película corto,18
inmigrantes españoles,18
ojalá algún,18
hijos españoles,18
falta caridad,18
but the,18
avaros borrachos,18
excelente trabajo,18
resto mundo,18
papeles regla,18
excelente video,18
dios quiere,18
esperanza españa,18
viva amor,18
ningún momento,18
hola buen,18
buscar vida,18
dan ganas,18
hermanos españoles,18
campos concentración,18
vivir cuento,18
vivo cuba,18
for this,18
hola fabián,18
pasaporte italiano,18
votado vox,18
necesita españa,18
votante vox,18
habla español,18
vox grande,18
fred palma,18
mucha pena,18
muchas felicidades,18
ganas trabajar,18
abascal españa,18
gran cantidad,17
gracia dios,17
gobierno españa,17
carreon gay,17
enemigos españa,17
españa libre,17
coger carrito,17
quién sabe,17
ladrones avaros,17
borrachos maldicientes,17
comunidad madrid,17
the most,17
españa trabajar,17
that the,17
the guy,17
the first,17
echan varones,17
niño padre,17
sabéis injustos,17
the same,17
dios amor,17
viva libertad,17
hola pregunta,17
parejas heterosexuales,17
formar familia,17
gusta vox,17
primer lugar,17
gay lesbiana,17
abascal habla,17
única esperanza,17
pido dios,17
freddy mercury,17
gustan hombres,17
debajo puente,17
preferencia sexual,17
fornicarios idólatras,17
inmigración legal,17
dios cuide,17
costa rica,17
aun asi,17
puedo aplicar,17
viva hispanidad,17
hijo hija,17
unico partido,17
quieren vivir,17
dios manda,17
dios hizo,17
buenos aires,16
niño quiere,16
buenos dias,16
españa países,16
ideas claras,16
puedo solicitar,16
unidad españa,16
puestos trabajo,16
hola buenos,16
doble nacionalidad,16
tax fraud,16
obtener nacionalidad,16
like that,16
antecedentes penales,16
vivir allá,16
viva viva,16
quieren trabajar,16
creó mujer,16
iluminaba bajo,16
asi habla,16
adelante españa,16
debería haber,16
países mundo,16
was the,16
plan kalergi,16
gays lesbianas,16
vox únicos,16
defiende españa,16
próximo presidente,16
país vasco,16
gustan mujeres,16
estafadores heredarán,16
hablar mal,16
vox extrema,16
vivir paz,16
propios españoles,16
mil gracias,16
millones parados,16
españa debe,16
nuevas elecciones,16
mucha fuerza,16
gracias señor,16
gran país,16
gracias gracias,16
clase media,16
española vivo,16
blanco negro,16
leer comentarios,16
open arms,16
love the,16
madrugada encontrarnos,16
olé olé,16
ciudadanos españoles,16
encontrarnos fortuna,16
merece pena,16
this short,15
reino cielos,15
español españa,15
buen cortometraje,15
dios señor,15
sueño americano,15
the way,15
they were,15
the song,15
spanish inquisition,15
matrimonio adopción,15
mejores oportunidades,15
gran mayoria,15
grande grande,15
debe respetar,15
gane vox,15
pelos punta,15
you are,15
vox razón,15
abuelos padres,15
afeminados echan,15
you for,15
países europa,15
presidente abascal,15
presidente vox,15
primera piedra,15
pedir asilo,15
have the,15
franco españa,15
vida digna,15
espíritu santo,15
belmonte san,15
país primer,15
voto útil,15
dia dia,15
jóvenes españoles,15
varones ladrones,15
fake news,15
vida españa,15
aqui españa,15
españoles saben,15
irme españa,15
izquierda derecha,15
dios pecado,15
jesús dijo,15
niño necesita,15
linda canción,15
ojos dios,15
resto europa,15
spain and,15
saludos cordiales,15
mala suerte,15
merecen respeto,15
watching this,15
abierta jóvenes,15
san jose,15
mentalidad abierta,15
servicios sociales,15
santo padre,15
españa familia,15
gracias saludos,15
maldicientes estafadores,15
rusia pais,15
marruecos compartimos,15
donald trump,15
sangre española,14
getting past,14
gran problema,14
menores edad,14
señor santiago,14
mujer trans,14
siguen siendo,14
skam españa,14
saludos bendiciones,14
sociedad quiere,14
matrimonio homosexual,14
matrimonio igualitario,14
trabajar campo,14
españoles gracias,14
conseguir trabajo,14
lgbt mundo,14
españa vivir,14
love you,14
discurso abascal,14
redes sociales,14
the name,14
españa peor,14
rocío monasterio,14
eliad cohen,14
ole cojones,14
edad media,14
españa saludos,14
the middle,14
tercer mundo,14
misma manera,14
gracias franco,14
would have,14
gobierno español,14
millones euros,14
memoria histórica,14
cris joana,14
españoles quieren,14
jajaja jajaja,14
inmigrantes vienen,14
dios proteja,14
inmigracion ilegal,14
legal ilegal,14
varón hembra,14
quieren imponer,14
hijo homosexual,14
and joana,14
partido popular,14
vive deja,14
hijos hijos,14
experimento social,14
hola puedo,14
cultura marruecos,14
cristo jesús,14
puedo pedir,14
viene padre,14
pareja gay,14
ever seen,14
vas vivir,14
fin cabo,14
hermosa cancion,14
dan trabajo,14
alfred garcía,14
alguna manera,14
primera señora,14
haber nacido,14
votare vox,14
vote vox,14
hablan español,14
figura paterna,14
debe haber,14
derechas izquierdas,14
potencia mundial,14
demás partidos,14
vox miedo,14
voy vivir,14
vox saludos,14
when you,13
gay gay,13
vox voz,13
waiting for,13
políticamente correcto,13
vox nunca,13
gusta canción,13
acuerdo vox,13
gusta video,13
preferible niño,13
franco arriba,13
frente popular,13
fin mes,13
derecho niño,13
países musulmanes,13
haber votado,13
votaremos vox,13
pecado pecado,13
dar trabajo,13
dar palo,13
países africanos,13
hoy hoy,13
viene trabajar,13
euros mes,13
dan asco,13
paz descanse,13
ayudas dan,13
asilo político,13
hola amor,13
heterosexual homosexual,13
hermoso video,13
argentinos pasaporte,13
demasiado tarde,13
duda alguna,13
abascal voto,13
españa mal,13
dios biblia,13
madre soltera,13
españa puedo,13
madres padres,13
españa primero,13
paises musulmanes,13
media españa,13
tantos españoles,13
santiago españa,13
miles españoles,13
muchas ganas,13
santi abascal,13
señor presidente,13
mente cerrada,13
cuanta razón,13
pueblo españa,13
there are,13
this clip,13
bravo vox,13
español vivo,13
the people,13
love love,13
ken street,13
the whole,13
italianos argentinos,13
this the,13
dijo camino,13
italia españa,13
tres meses,13
iso llorar,13
trabajo duro,13
trabajar estudiar,13
gracias existir,13
civil española,13
pagan impuestos,13
nunca visto,13
each other,13
dios todopoderoso,13
don luis,13
ole huevos,13
defiende españoles,13
único camino,13
piel gallina,13
what they,13
watched this,13
well done,13
george soros,13
you have,13
salir país,13
salvar españa,13
quiere sociedad,13
republica dominicana,13
relaciones sexuales,13
erréis fornicarios,13
dios misericordia,13
cris and,13
saludos perú,13
quiere trabajar,13
españa adelante,13
espero algún,12
país derecho,12
unión civil,12
vivir lado,12
derechos españoles,12
franco dictador,12
vox esperanza,12
franco vivía,12
espinosa monteros,12
usted señor,12
ayuda alquiler,12
estilo vida,12
europa españa,12
problema italia,12
vienen trabajar,12
vienen españa,12
arabia saudita,12
hola bisabuelo,12
are the,12
vida fácil,12
homosexual pecado,12
derecha izquierda,12
falta mano,12
apoyo vox,12
gustaria saber,12
vox españoles,12
políticos corruptos,12
people are,12
acuerdo abascal,12
habla inmigración,12
habla abascal,12
pecador pecado,12
amanecer dime,12
have been,12
voluntad dios,12
cultura país,12
buena idea,12
mucha razón,12
sanidad educación,12
españa dios,12
san juan,12
misterio amanecer,12
españa franco,12
españa gran,12
santiago vox,12
sigue asi,12
luz agua,12
puedo contactar,12
tantas veces,12
street fighter,12
españa mierda,12
dios ayude,12
españa nunca,12
manera pensar,12
libre pecado,12
blanca hermosa,12
españoles españoles,12
tratan mal,12
trabajo españoles,12
ken barbie,12
italia papa,12
the siesta,12
the only,12
bravo santi,12
españa único,12
love how,12
quiere vivir,12
pais mundo,12
criaturas dios,12
sabe llama,12
quiero viajar,12
encantaría vivir,12
ninguna ayuda,12
dios erréis,12
dios hijo,12
ningun pais,12
corea norte,12
coger agarrar,12
necesita vox,12
creacion dios,12
chu long,12
nacido españa,12
name the,12
comentarios recientes,12
salir calle,12
muchísimas gracias,12
queremos españa,12
respeto hacia,12
saber quiero,12
nunca españa,12
nuevo orden,12
sagrada familia,12
reserva hotel,12
abascal españoles,12
orden mundial,12
gracias video,12
gran discurso,12
única solución,12
years ago,12
abascal verdades,12
abierta jovenes,12
recibir ayudas,11
comunidad internacional,11
watch this,11
pido viento,11
petición países,11
poder vivir,11
poder trabajar,11
éste país,11
doy razón,11
noche cama,11
vox unico,11
vox presidente,11
acabaremos altar,11
niños niñas,11
sabino arana,11
rusia país,11
compartimos cultura,11
trabajo digno,11
bandera españa,11
año pasado,11
espero momento,11
invitar salir,11
paso atrás,11
pasar segundo,11
lado misterio,11
españoles italianos,11
futuro españa,11
grande viva,11
congreso diputados,11
quito sombrero,11
quisiera vivir,11
frontera méxico,11
común vox,11
españoles inmigrantes,11
españoles extranjeros,11
justicia social,11
esperando película,11
ningún político,11
ningún español,11
escrito acabaremos,11
entrar país,11
inmigrante viene,11
pasando mal,11
pasa españa,11
partidos politicos,11
dijo señor,11
buen dia,11
libertad sexual,11
leyenda negra,11
ilegal legal,11
very good,11
españa trabajo,11
corazón quién,11
dios palabra,11
votemos vox,11
guy the,11
pena muerte,11
fin partido,11
figura materna,11
dios perdona,11
emigrar españa,11
emigrantes españoles,11
lunes martes,11
país país,11
dan pena,11
problema inmigración,11
después guerra,11
descendientes españoles,11
información favor,11
ayudas extranjeros,11
brazos abiertos,11
the right,11
hoy mañana,11
hoy españa,11
nacionalidad italiana,11
niño adoptado,11
nivel vida,11
saludos cuba,11
pais origen,11
puedo obtener,11
loved the,11
manda huevos,11
buena información,11
llegar españa,11
the day,11
quiero invitar,11
harry potter,11
votad vox,11
hacen daño,11
salir pienses,11
arraigo social,11
vida dura,11
hola quisiera,11
hola fabian,11
españa mundo,11
viento traiga,11
viva italia,11
andrea nevado,11
falta vox,11
falta oportunidades,11
país desarrollado,11
buenas malas,11
casi lloro,11
españa español,11
españa despierta,11
mujer dios,11
mil euros,11
quiere estudiar,11
dios condena,11
mayoría inmigrantes,11
señores vox,11
cama matrimonial,11
cabe duda,11
solución vox,11
thanks for,11
sigo viendo,11
pagar pensiones,11
dios juan,11
democracia libertad,11
países pobres,11
países desarrollados,11
and then,11
canción hizo,11
muchas bendiciones,11
misma cultura,11
ministerio igualdad,11
felices juntos,11
familia tradicional,11
visto oppenheimer,11
mercado laboral,11
siento orgullosa,11
defender españa,11
gran presidente,11
abrir ojos,11
aborrece pecado,11
odio hacia,11
obra barata,11
problemas sociales,11
jordi ebola,11
jesús camino,11
españoles racistas,11
dios sabe,11
don know,11
doble moral,11
abascal conde,11
abascal gracias,10
ojalá mundo,10
orgullosa española,10
acompáñame vas,10
jeans iluminaba,10
esperanza aguirre,10
pasando noche,10
programa electoral,10
you know,10
único político,10
when they,10
abiertos mente,10
about the,10
voy viajar,10
when she,10
pienses acompáñame,10
pienso lunes,10
dejan entrar,10
dio risa,10
dios acepta,10
viva caudillo,10
amor respeto,10
fin semana,10
hermoso corto,10
heterosexuales homosexuales,10
favor vox,10
senza pasa,10
momento verte,10
españa ojalá,10
memoria democrática,10
españa hoy,10
derechos obligaciones,10
derecho adoptar,10
dedos frente,10
pagar estudios,10
canso verlo,10
tantas verdades,10
but not,10
cama vola,10
señor habla,10
señor jesús,10
paises europeos,10
dios creación,10
coraza corazón,10
mexicanos españa,10
santiago grande,10
segundo hacerte,10
senza dime,10
chun long,10
ciencia dime,10
misma situación,10
chica tatuajes,10
santiago adelante,10
papá mamá,10
dio potestad,10
faltar respeto,10
viva espana,10
and this,10
viva putin,10
pura coincidencia,10
puro común,10
cruz roja,10
manera legal,10
hola gustaría,10
hola saludos,10
vida normal,10
vida país,10
vida viene,10
martes festivo,10
mayor edad,10
madre parió,10
madrid barcelona,10
mal mal,10
españa asi,10
amor apoyo,10
amor ciencia,10
amor pura,10
ama pecado,10
hacemos madre,10
hacerte saber,10
flecha atravesó,10
amigo gay,10
votamos vox,10
quiero película,10
mal vox,10
llamados hijos,10
llamas quiero,10
españa voto,10
the ending,10
the girl,10
cuanta falta,10
cuba venezuela,10
cuerpos seguridad,10
partido españa,10
pagamos impuestos,10
ningun problema,10
creen nombre,10
pais españa,10
españa comunismo,10
coincidencia flecha,10
saludos venezuela,10
nación española,10
necesita padre,10
escuchar canción,10
salir armario,10
española abuelo,10
impuestos españoles,10
presidente santiago,10
problema españa,10
dios perdone,10
quiero contigo,10
fin mundo,10
presidente españoles,10
pleno siglo,10
rompiendo coraza,10
llama sergio,10
verte pasar,10
atravesó rompiendo,10
ilegal país,10
iluminaba llamas,10
unión soviética,10
varón mujer,10
ayudas españoles,10
buena onda,10
bravo señor,10
libertad españa,10
español italiano,10
español viva,10
larga vida,10
buen reportaje,10
the video,10
partido extrema,10
partido politico,10
dinero españa,10
pasa embrujo,10
inmigrantes musulmanes,10
ganar dinero,10
ganarse vida,10
ningún sitio,10
nivel inglés,10
voten vox,10
altar pasando,10
vox espero,10
vox inmigración,10
adelante santiago,10
alex rivera,10
alfred garcia,10
embrujo pienso,10
verbo coger,10
trabajo trabajo,10
tragos juntitos,10
traiga espero,10
tres hijos,10
baño ponte,10
irene montero,10
irse vivir,10
diciendo verdades,10
juntitos damos,10
españoles emigraron,10
trabajado vida,10
condición sexual,10
contigo cama,10
reciben ayudas,10
franco caudillo,10
franco hizo,10
acuerdo contigo,10
acá méxico,10
grandes verdades,10
futuro hijos,10
damos baño,10
dan ayuda,10
país debe,10
triste historia,10
unga unga,10
leer biblia,10
lengua española,10
propiedad privada,10
proximo presidente,10
compartimos historia,10
sabe dónde,10
sabe escrito,10
vox quiero,10
niños pequeños,10
trabajo fijo,10
trabajo papeles,10
you and,10
politicamente correcto,10
ponte bikini,10
posición franco,10
permiso residencia,10
pobre españa,10
comprar casa,10
orgulloso español,10
gracias vídeo,10
gran pais,9
gran nación,9
pollo gay,9
político vox,9
deberia haber,9
vía pública,9
was great,9
podemos hablar,9
don understand,9
dios quiera,9
dieron ganas,9
dais pena,9
patria viva,9
interesa programa,9
información gracias,9
inmigración irregular,9
inmigrante aquel,9
espero vox,9
esposa hijo,9
ultra izquierda,9
unas elecciones,9
leo comentarios,9
española puedo,9
islas canarias,9
italiano español,9
dicen españa,9
dictadura progre,9
this beautiful,9
josé antonio,9
this scene,9
know what,9
buen final,9
partido socialista,9
dinero españoles,9
pasa vox,9
pasando españa,9
inmigrante legal,9
vida demás,9
estan mal,9
buena mala,9
the other,9
the paella,9
libertad igualdad,9
linda historia,9
the rest,9
imperio romano,9
problemas españa,9
dan vergüenza,9
dia orgullo,9
país musulmán,9
país papeles,9
madre dios,9
españa sino,9
llama atención,9
llamarse pikachu,9
lleva razón,9
llevo trabajando,9
the new,9
buena canción,9
buenos malos,9
puta idea,9
pueblo pueblo,9
puedo acceder,9
puedo coger,9
cultura española,9
cultura religión,9
veces pienso,9
vengo futuro,9
viva che,9
viene españa,9
hombres heterosexuales,9
matrimonio gay,9
mayor mente,9
madre hijo,9
magnífico abascal,9
mal visto,9
españa queremos,9
españa quiero,9
but this,9
homosexual bisexual,9
homosexual lesbiana,9
país europa,9
vivir cuba,9
falta conocimiento,9
and you,9
españa paises,9
territorio español,9
solicitar asilo,9
such beautiful,9
señor jesucristo,9
pais racista,9
pareja hetero,9
dinero pagar,9
puedo parar,9
aquella época,9
argentina españa,9
familia numerosa,9
familia padre,9
feel like,9
felicidades españa,9
viva voz,9
millones inmigrantes,9
siglo xix,9
situación actual,9
mejores condiciones,9
menor edad,9
serie película,9
señor dijo,9
vive españa,9
vivimos mundo,9
and have,9
amo rusia,9
derecho vida,9
descanse paz,9
países bajos,9
demás países,9
potestad hechos,9
muchas hormonas,9
short movie,9
siendo mujer,9
mensaje vox,9
seguir adelante,9
casa campo,9
cientos miles,9
mismos españoles,9
caudillo españa,9
chica tatuaje,9
mucha tristeza,9
amor paz,9
haga quiera,9
america latina,9
hechos hijos,9
corazón dios,9
quieren destruir,9
pais europeo,9
españa comparte,9
saludos españa,9
nivel mundial,9
encanta cancion,9
ciudadania española,9
necesitamos presidente,9
fin político,9
pedir ayuda,9
pedir ayudas,9
pelos lengua,9
dejar entrar,9
dejen vivir,9
delito dios,9
demasiada paciencia,9
padre dios,9
dios nunca,9
padre sino,9
padres hermanos,9
ningún lado,9
allá españa,9
ama españa,9
frontera terrestre,9
vox hoy,9
adultos mayores,9
vox común,9
vox congreso,9
alan turing,9
algún momento,9
emigrar galicia,9
encanta españa,9
comunistas socialistas,9
comí pollo,9
común viva,9
corintios sabéis,9
corto hermoso,9
gustaría poder,9
pregunta puedo,9
vox votar,9
grande russia,9
great sketch,9
ganar elecciones,9
rey marruecos,9
commit tax,9
rusia viva,9
saben hacen,9
saben historia,9
colectivo lgtbi,9
niños adoptados,9
niños españoles,9
niños niños,9
nombre dio,9
norte europa,9
norte áfrica,9
not cathedral,9
nueva vida,9
nuevas generaciones,9
during the,9
residencia trabajo,9
guardia seguridad,9
guardias civiles,9
from spain,9
where you,9
gran video,9
voz congreso,9
recibieron creen,9
gracias bendiciones,9
reino españa,9
gracias papa,9
gran diferencia,8
gracias mil,8
culpa nacer,8
puedo vivir,8
pura realidad,8
españa encima,8
españa espero,8
when cris,8
abierto puertas,8
propios hijos,8
daniel carrión,8
dar ayudas,8
grande señor,8
fuerzas seguridad,8
ánimo vox,8
época franco,8
millones habitantes,8
buenas noticias,8
the fact,8
buena actuación,8
miedo miedo,8
puta vida,8
quedar mal,8
quede ganas,8
gastar dinero,8
méxico usa,8
mundo lugar,8
mundo olvidó,8
mundo sabe,8
mujeres mujer,8
mil millones,8
mercury bisexual,8
mercury gay,8
españa abascal,8
españa argentina,8
españa año,8
españa aún,8
that you,8
muro trump,8
quiere españa,8
acuerdo señor,8
acá argentina,8
adaptarse cultura,8
grande presidente,8
gobiernos corruptos,8
they have,8
bonita cancion,8
mejorar vida,8
mejores países,8
mayoría países,8
ganar votos,8
preferencias sexuales,8
primero españa,8
querida españa,8
españa mayoría,8
encanta video,8
calvo sotelo,8
sur españa,8
necesito película,8
enorme abascal,8
niño amor,8
españa méxico,8
españa nacionalidad,8
marroquíes españa,8
mayoria españoles,8
this sketch,8
bikini trendy,8
vox quiere,8
vox solución,8
acuerdo ideas,8
acuerdo santiago,8
fuerzas armadas,8
quieren estudiar,8
creó varón,8
gustaría trabajar,8
gusto escuchar,8
nombre canción,8
nombre dios,8
spanish immigration,8
españa quieren,8
españa resto,8
nueva zelanda,8
duela duela,8
can wait,8
canción encanta,8
socialistas comunistas,8
solicitar nacionalidad,8
mayoría argentinos,8
nudo garganta,8
hacia falta,8
francisco dios,8
político españa,8
deben saber,8
hablan inglés,8
bit gaudi,8
trabajar pagar,8
trabajo españa,8
trabajo hará,8
madres solteras,8
mamá papá,8
vox ojalá,8
pocas palabras,8
trendy jeans,8
because the,8
lugar mundo,8
sigue encantando,8
simplemente hermoso,8
españa votar,8
españa voy,8
español abuela,8
ole abascal,8
ole santiago,8
olvidó llorar,8
don francisco,8
dónde puedo,8
canción wonder,8
ping chun,8
fidel castro,8
haga falta,8
playa tragos,8
cara dura,8
cara sol,8
cara vergüenza,8
unidas podemos,8
llegada masiva,8
llena boca,8
españa vivo,8
usted presidente,8
llaman racistas,8
oportunidades trabajo,8
orgulloso haber,8
llamar atención,8
llega alma,8
final inesperado,8
vox inmigrantes,8
vox mejores,8
vox muerte,8
adán eva,8
conocer españa,8
varios países,8
vaya vaya,8
ayudas económicas,8
lindo corto,8
señor salvador,8
señor sánchez,8
señor viva,8
vaya vergüenza,8
veces visto,8
real madrid,8
realidad españa,8
peligro democracia,8
peor aún,8
peor país,8
venezuela cuba,8
españoles den,8
dios patria,8
servicio militar,8
señor dios,8
padre hijo,8
vergüenza país,8
vida difícil,8
ase llorar,8
asi españa,8
español español,8
vida dios,8
hola cubana,8
amamos españa,8
dejar vivir,8
dejen engañar,8
religión cultura,8
representa españoles,8
comunidad lgbtiq,8
razón santiago,8
razón señor,8
know how,8
larga duración,8
pais vasco,8
seguiré votando,8
casa coche,8
padre padre,8
padres familia,8
padres homosexuales,8
pagando impuestos,8
dios corintios,8
fact that,8
familia hijos,8
pedro rivera,8
respetar cultura,8
pais asi,8
lee biblia,8
vida viviendo,8
video gracias,8
argentinos italianos,8
sección comentarios,8
argentinos nacionalidad,8
juan carlos,8
homosexual delito,8
amo corto,8
amo país,8
volver casa,8
hola interesa,8
hola quiero,8
países ricos,8
respuesta gracias,8
derecha extrema,8
existe homofobia,8
juan pablo,8
españoles emigrantes,8
arraigo familiar,8
papa mama,8
dios corazón,8
jesús único,8
amor verdadero,8
vivo colombia,8
vladimir putin,8
amar prójimo,8
fallo organismo,8
país racista,8
país trabajar,8
homofobia existe,8
jordi evole,8
jordi ébola,8
izquierdas derechas,8
españoles necesitamos,8
sanidad pública,8
completamente acuerdo,8
ida vuelta,8
euros hora,8
rusia grande,8
sabe nombre,8
cometido delito,8
excelente corto,8
catalanes españoles,8
españoles pensamos,8
visto visto,8
viva argentina,8
españoles viviendo,8
españoles queremos,8
chico chica,8
are not,8
are you,8
partido representa,8
digan digan,8
inmigrantes inmigrantes,8
españoles trabajo,8
and not,8
and that,8
humor negro,8
dia soltar,8
país hermoso,8
país libre,8
apoyo comunidad,8
apoyo lgbt,8
dicen dios,8
coger significa,8
coches eléctricos,8
inmigración descontrolada,8
viven españa,8
viviendo calle,8
viviendo cuento,8
comentarios homofóbicos,8
ignorancia atrevida,8
esposa hijos,8
paterna materna,8
paz amor,8
saber historia,8
saber puedo,8
buen camino,8
mori risa,8
mucha homofobia,8
puedo dejar,8
última esperanza,8
único importa,8
you commit,8
gracias santi,8
abuelo español,8
with her,8
muchas buenas,8
abascal gran,8
cristo viene,8
muertos hambre,7
culpa políticos,7
único país,7
abascal dios,7
year lads,7
abuelo fallecido,7
único hacen,7
única manera,7
puedo entender,7
youtube recomendó,7
you much,7
propia tierra,7
