tema,anio_objetivo,id_hilo,comentarios_anuales,usuarios_unicos,fecha_minima,fecha_maxima,titulo_resultado,url_hilo,subtema_preliminar,criterio_inclusion,requiere_revision_tematica,origen_candidato,lote
inmigracion,2015,4598366,206,165,2015-10-27 21:42:00,2015-10-28 17:03:00,¿Estarías a favor de expulsar a todos los musulmanes de España?,https://forocoches.com/foro/showthread.php?t=4598366,,"Debate sobre expulsión, integración y población migrante",,,
inmigracion,2015,4605288,42,32,2015-10-31 23:06:00,2015-11-01 01:32:00,Programa de Podemos para las generales respecto a la inmigración,https://forocoches.com/foro/showthread.php?t=4605288,,"Políticas migratorias, CIE, deportaciones y derechos políticos",,,
inmigracion,2015,4634310,136,106,2015-11-17 16:21:00,2015-12-30 06:04:00,Apuntando alto: quiénes están detrás de la inmigración (pruebas dentro),https://forocoches.com/foro/showthread.php?t=4634310,,Discusión centrada en las causas políticas de la inmigración,,,
inmigracion,2015,4661741,33,21,2015-12-02 20:41:00,2015-12-02 21:32:00,UPyD e inmigración,https://forocoches.com/foro/showthread.php?t=4661741,,Debate sobre propuestas políticas relacionadas con inmigración,,,
inmigracion,2015,4675906,24,13,2015-12-10 17:13:00,2015-12-10 20:13:00,Conseguir visado de trabajo en España [Tema Serio],https://forocoches.com/foro/showthread.php?t=4675906,visados_residencia_trabajo,"Migración legal hacia España, permisos de residencia, trabajo e integración administrativa",False,,
inmigracion,2016,4730394,9,8,2016-01-07 10:01:00,2016-01-08 20:42:00,Un asunto delicado el tema INMIGRACIÓN y delincuencia. ¿Qué eliges?,https://forocoches.com/foro/showthread.php?t=4730394,,,,,
inmigracion,2016,4759444,30,24,2016-01-23 11:36:00,2016-01-25 02:31:00,El Gobierno de Rajoy concedió 4.400 nacionalidades por decreto; 4.200 a sefardíes,https://forocoches.com/foro/showthread.php?t=4759444,nacionalidad_ciudadania,"Debate sobre adquisición de nacionalidad, cartas de naturaleza y política migratoria",False,,
inmigracion,2016,4810374,12,9,2016-02-24 00:01:00,2016-02-24 00:48:00,"Trabajar sin papeles, ¿regularización? Tema serio",https://forocoches.com/foro/showthread.php?t=4810374,trabajo_irregular_regularizacion,"Situación irregular, permiso de trabajo, residencia y empleo informal",False,,
inmigracion,2016,4814861,101,72,2016-02-26 19:34:00,2016-02-27 19:46:00,Conexión entre inmigración y delincuencia realmente no existe,https://forocoches.com/foro/showthread.php?t=4814861,inmigracion_delincuencia_percepcion,"Debate explícito sobre percepción social, inmigración y delincuencia",False,,
inmigracion,2016,4840201,183,149,2016-03-14 13:24:00,2016-03-14 21:47:00,"Refugees vienen, ven que España está hecho mierdas y se van desengañados",https://forocoches.com/foro/showthread.php?t=4840201,,,,,
inmigracion,2016,4856902,132,92,2016-03-25 13:40:00,2016-08-22 14:12:00,Somos un país de emigrantes,https://forocoches.com/foro/showthread.php?t=4856902,refugiados_asilo_internacional,"Debate sobre solicitudes de asilo, países receptores y distribución de refugiados",True,,
inmigracion,2016,4930389,52,34,2016-05-10 19:26:00,2016-05-10 23:58:00,Según El Jueves Europa se llena de peligrosos nancys,https://forocoches.com/foro/showthread.php?t=4930389,,,,,
inmigracion,2016,5068993,14,13,2016-08-03 13:47:00,2016-08-04 17:00:00,¿Qué opinión tenéis de este artículo sobre inmigración?,https://forocoches.com/foro/showthread.php?t=5068993,inmigracion_estado_bienestar,"Discusión sobre aportaciones fiscales, prestaciones y percepción social de inmigrantes",False,,
inmigracion,2016,5149331,1553,1160,2016-09-23 13:24:00,2016-10-15 12:43:00,"Refugiado sirio: ""Esperaba más de España""",https://forocoches.com/foro/showthread.php?t=5149331,refugiados_ayudas_reagrupacion,"Debate sobre asilo, ayudas públicas, vivienda, universidad y reunificación familiar",False,,
inmigracion,2016,5234727,37,25,2016-11-07 12:13:00,2016-11-07 14:44:00,Refugees cubanos,https://forocoches.com/foro/showthread.php?t=5234727,refugiados_politicos_asilo,"Discusión sobre refugiados políticos, inmigración económica y vías de asilo",False,,
inmigracion,2016,5306998,212,141,2016-12-13 13:19:00,2016-12-26 18:53:00,Valencia: inmigrantes sin papeles empadronados cobrarán hasta 532 euros,https://forocoches.com/foro/showthread.php?t=5306998,inmigracion_irregular_ayudas,"Discusión sobre irregularidad administrativa, empadronamiento y renta de inclusión",False,,
inmigracion,2016,5320037,186,102,2016-12-20 01:08:00,2016-12-29 13:38:00,"Progres, asumidlo: el nacionalismo identitario tomará las riendas de Europa",https://forocoches.com/foro/showthread.php?t=5320037,multiculturalismo_identidad_politica,La inmigración masiva y el multiculturalismo son argumentos centrales del mensaje inicial,False,,
inmigracion,2019,7022487,15,13,2019-02-25 19:11:00,2019-02-25 19:43:00,Conseguir permiso residencia,https://forocoches.com/foro/showthread.php?t=7022487,residencia_regularizacion_trabajo,"Consulta directa sobre residencia, trabajo, regularización y llegada a España.",False,,
inmigracion,2019,7092240,62,41,2019-04-03 01:17:00,2019-04-08 13:52:00,ALERTA anti-INMIGRACIÓN ILEGAL +TemaSerio,https://forocoches.com/foro/showthread.php?t=7092240,,,,,
inmigracion,2019,7204675,12,8,2019-05-26 01:43:00,2019-06-29 14:11:00,La Generalitat de Catalunya paga 100 € al día por cada MENA,https://forocoches.com/foro/showthread.php?t=7204675,menas_costes_acogida,"Debate sobre menores migrantes, costes de acogida, centros y gestión pública",False,,
inmigracion,2019,7281127,121,107,2019-07-02 15:47:00,2019-07-04 11:32:00,Descubierta la mentira de las pateras,https://forocoches.com/foro/showthread.php?t=7281127,,,,,
inmigracion,2019,7285578,63,39,2019-07-04 18:19:00,2019-07-05 08:55:00,"Salvini, sobre el Open Arms: Que España los haga volver o lo haremos nosotros",https://forocoches.com/foro/showthread.php?t=7285578,rescate_maritimo_open_arms,"Debate sobre rescate marítimo, ONG, fronteras y devolución de migrantes",False,,
inmigracion,2019,7292972,52,40,2019-07-08 15:51:00,2019-07-08 19:57:00,La verdad sobre los MENAS,https://forocoches.com/foro/showthread.php?t=7292972,menas_delincuencia_estadisticas,"Discusión sobre número de menores migrantes, delincuencia y evidencia estadística",False,,
inmigracion,2019,7356102,34,21,2019-08-09 14:36:00,2019-08-11 17:56:00,Venezuela se convierte en el mayor éxodo de la historia: supera a afganos y sirios,https://forocoches.com/foro/showthread.php?t=7356102,exodo_venezolano_asilo,"Refugiados, solicitudes de asilo, desplazamiento y migración venezolana",False,,
inmigracion,2019,7365765,37,28,2019-08-14 14:46:00,2019-08-15 23:15:00,¿Solución al tema de la inmigración?,https://forocoches.com/foro/showthread.php?t=7365765,politica_migratoria_soluciones,"Propuestas sobre fronteras, deportación, visados, rescate marítimo e integración",False,,
inmigracion,2019,7386240,60,31,2019-08-25 11:35:00,2019-08-25 15:35:00,Estas es la calidad de noticias y sucesos en la que estáis cayendo en ForoCoches,https://forocoches.com/foro/showthread.php?t=7386240,representacion_mediatica_menas,"Discusión sobre la representación de la inmigración, los MENAS, los refugiados sirios y las noticias publicadas en el foro.",False,,
inmigracion,2019,7411938,35,30,2019-09-07 11:52:00,2019-09-07 16:52:00,Os dejo mi opinión sobre la inmigración,https://forocoches.com/foro/showthread.php?t=7411938,integracion_demografia_bienestar,"Debate sobre envejecimiento, pensiones, integración, ayudas y delincuencia",False,,
inmigracion,2019,7582097,58,55,2019-12-05 18:10:00,2019-12-05 21:57:00,"Menores extranjeros en el centro de Hortaleza: ""No nos gusta vivir aquí""",https://forocoches.com/foro/showthread.php?t=7582097,menas_acogida_integracion,"Debate explícito sobre menores extranjeros no acompañados, centros de acogida, llegada migratoria e integración.",False,,
inmigracion,2019,7602070,225,210,2019-12-16 23:40:00,2019-12-17 14:45:00,"Los extranjeros aportan el 10 % a la Seguridad Social y solo reciben el 0,9 %",https://forocoches.com/foro/showthread.php?t=7602070,,,,,
inmigracion,2023,9415175,47,41,2023-01-17 21:11:00,2023-01-18 11:02:00,Ucranianos en España,https://forocoches.com/foro/showthread.php?t=9415175,refugiados_ucranianos_acogida,"Debate explícito sobre refugiados ucranianos en España, ayudas, vivienda, trabajo y diferencias socioeconómicas.",False,,
inmigracion,2023,9423437,36,10,2023-01-25 03:04:00,2023-02-23 16:27:00,En búsqueda de trabajo (arraigo social),https://forocoches.com/foro/showthread.php?t=9423437,arraigo_social_empleo_regularizacion,"Caso práctico sobre una persona migrante en situación irregular, búsqueda de empleo, contrato laboral y arraigo social.",False,,
inmigracion,2023,9507733,6,5,2023-04-13 12:03:00,2023-04-16 11:26:00,¿Tan complicado es contratar trabajadores extranjeros?,https://forocoches.com/foro/showthread.php?t=9507733,inmigracion_laboral_contratacion_legal,"Debate sobre inmigración laboral legal, permisos de residencia, contratación, escasez de trabajadores y regularización.",False,,
inmigracion,2023,9541304,302,207,2023-05-12 23:26:00,2023-05-14 23:59:00,Estoy a favor de la inmigración ilegal,https://forocoches.com/foro/showthread.php?t=9541304,,,,,
inmigracion,2023,9572133,60,41,2023-06-08 00:40:00,2023-06-08 02:03:00,Uno de los problemas del precio de la vivienda es la inmigración,https://forocoches.com/foro/showthread.php?t=9572133,,,,,
inmigracion,2023,9577492,49,40,2023-06-13 01:32:00,2023-06-14 23:58:00,ONG roba dinero para MENAS,https://forocoches.com/foro/showthread.php?t=9577492,menas_acogida_gestion_fondos,"Debate explícito sobre menores migrantes, centros de acogida, financiación pública y gestión de una entidad social.",False,,
inmigracion,2023,9712540,6,6,2023-10-07 17:23:00,2023-10-07 17:33:00,¿Por qué llegan ahora los CAYUCOS a EL HIERRO?,https://forocoches.com/foro/showthread.php?t=9712540,ruta_canaria_cayucos_origenes,"Debate explícito sobre rutas migratorias africanas, cayucos, mafias, devoluciones y llegadas a Canarias.",False,,
inmigracion,2023,9726464,522,409,2023-10-19 22:42:00,2023-10-24 08:16:00,Interior traslada a Huesca a 200 migrantes llegados desde Canarias,https://forocoches.com/foro/showthread.php?t=9726464,traslado_acogida_distribucion_territorial,"Debate central sobre traslado de migrantes desde Canarias, acogida, coordinación institucional y distribución territorial.",False,,
inmigracion,2023,9735179,6,6,2023-10-27 19:40:00,2023-10-27 19:59:00,Duda inmigración ilegal,https://forocoches.com/foro/showthread.php?t=9735179,,,,,
inmigracion,2023,9747146,35,23,2023-11-07 12:48:00,2023-11-07 14:34:00,¿Cuál de los siguientes problemas de España te preocupa más?,https://forocoches.com/foro/showthread.php?t=9747146,inmigracion_problemas_sociales_economia,"El resultado indexado contiene un debate sustancial sobre inmigración, MENAS, empleo, vivienda, salarios y acceso a ayudas, pero el planteamiento inicial es más general.",True,,
inmigracion,2023,9790242,73,49,2023-12-16 13:33:00,2023-12-16 17:01:00,Delincuencia es igual a inmigración,https://forocoches.com/foro/showthread.php?t=9790242,inmigracion_delincuencia_seguridad,"Debate explícito sobre la relación percibida entre inmigración, delincuencia, barrios multiculturales y seguridad.",False,,
inmigracion,2023,9810310,20,17,2023-12-30 20:55:00,2023-12-30 21:40:00,El Hierro recibió más migrantes en 7 meses que todo el Mediterráneo español en 2023,https://forocoches.com/foro/showthread.php?t=9810310,ruta_canaria_cayucos_llegadas,"Debate central sobre llegadas migratorias en cayucos, menores migrantes, Canarias y redistribución territorial.",False,,
lgtbi,2015,4323181,42,39,2015-05-20 10:17:00,2015-05-20 11:53:00,It's a Trap: cuando ella es él y él es ella,https://forocoches.com/foro/showthread.php?t=4323181,,,,,
lgtbi,2015,4532333,79,66,2015-09-18 13:00:00,2015-09-19 09:31:00,Javier Maroto se ha casado esta mañana con su novio en el Ayuntamiento de Vitoria,https://forocoches.com/foro/showthread.php?t=4532333,matrimonio_homosexual_politica,"Debate sobre matrimonio entre personas del mismo sexo, orientación sexual, aceptación social y posición política.",False,,
lgtbi,2015,4677567,602,529,2015-12-11 16:00:00,2015-12-19 00:48:00,Un hombre de 52 años se transforma en una niña de seis,https://forocoches.com/foro/showthread.php?t=4677567,,,,,
lgtbi,2016,4771850,6,5,2016-01-30 17:51:00,2016-01-30 18:01:00,¿Es ForoCoches heteroflexible?,https://forocoches.com/foro/showthread.php?t=4771850,orientacion_sexual_heteroflexibilidad,"Debate explícito sobre bisexualidad, heteroflexibilidad y prácticas homosexuales.",False,busqueda_externa_controlada,lote_17
lgtbi,2016,4784732,9,8,2016-02-07 20:58:00,2016-02-07 22:33:00,Nueva agresión homófoba en la capital,https://forocoches.com/foro/showthread.php?t=4784732,,,,,
lgtbi,2016,4900779,75,57,2016-04-21 16:16:00,2016-04-21 19:49:00,La que me han liado por decir que los mariquitas no son normales,https://forocoches.com/foro/showthread.php?t=4900779,,,,,
lgtbi,2016,4932029,99,80,2016-05-11 19:26:00,2016-05-12 20:43:00,Árbitro deja el arbitraje por recibir continuos insultos homófobos,https://forocoches.com/foro/showthread.php?t=4932029,,,,,
lgtbi,2016,5015696,27,27,2016-06-28 23:15:00,2016-06-28 23:46:00,¿Iríais al orgullo de Madrid?,https://forocoches.com/foro/showthread.php?t=5015696,orgullo_lgtbi_visibilidad,Debate explícito sobre la celebración del Orgullo LGTBI de Madrid.,False,busqueda_externa_controlada,lote_18
lgtbi,2016,5029297,46,34,2016-07-07 18:50:00,2016-07-07 20:39:00,Así son los jóvenes gais de la derecha española,https://forocoches.com/foro/showthread.php?t=5029297,homosexualidad_identidad_politica,"Debate explícito sobre jóvenes gais, orientación sexual e identidad política.",False,busqueda_externa_controlada,lote_17
lgtbi,2016,5103831,6,5,2016-08-26 11:36:00,2016-08-26 11:42:00,Comentemos estas noticias [Tema Serio],https://forocoches.com/foro/showthread.php?t=5103831,violencia_trans_agresion,Debate sobre la agresión y el robo sufridos por una persona transexual.,False,busqueda_externa_controlada,lote_18
lgtbi,2016,5135013,49,45,2016-09-14 15:05:00,2016-09-14 15:46:00,Rumor sobre Rajoy...,https://forocoches.com/foro/showthread.php?t=5135013,homosexualidad_politica_salida_armario,"Debate explícito sobre homosexualidad, salida del armario, matrimonio igualitario y tratamiento político de la orientación sexual.",True,busqueda_externa_controlada,lote_25
lgtbi,2016,5160233,12,12,2016-09-29 14:01:00,2016-09-29 14:13:00,Dos monjas se casan tras dejar el convento,https://forocoches.com/foro/showthread.php?t=5160233,lesbianas_matrimonio_religion,"El hilo trata explícitamente una relación lesbiana, el matrimonio entre dos mujeres y su relación con la doctrina religiosa.",False,busqueda_externa_controlada,lote_24
lgtbi,2019,6993059,26,25,2019-02-09 23:39:00,2019-02-10 00:03:00,"Si no te sabes todos los géneros, eres un FATXA",https://forocoches.com/foro/showthread.php?t=6993059,identidades_trans_no_binarias,"Debate explícito sobre identidades trans, no binarias y diversidad de género.",False,busqueda_externa_controlada,lote_19
lgtbi,2019,7232702,18,14,2019-06-08 19:15:00,2019-06-08 20:06:00,La NUEVA PELÍCULA de ISABEL COIXET +NWO +HOMOS +HETEROPATRIARCADO,https://forocoches.com/foro/showthread.php?t=7232702,representacion_lesbica_cine,"Debate sobre una película centrada en una relación lésbica, matrimonio homosexual y persecución internacional.",False,busqueda_externa_controlada,lote_20
lgtbi,2019,7268857,273,199,2019-06-26 13:40:00,2019-07-01 08:39:00,La obsesión homófoba de VOX empieza a ser enfermiza,https://forocoches.com/foro/showthread.php?t=7268857,,,,,
lgtbi,2019,7293798,35,32,2019-07-08 22:46:00,2019-07-09 08:29:00,¿VOX es un partido homófobo?,https://forocoches.com/foro/showthread.php?t=7293798,,,,,
lgtbi,2019,7306066,177,140,2019-07-15 10:05:00,2019-07-16 07:17:00,A favor o en contra de que se hagan cursos LGTB en las escuelas,https://forocoches.com/foro/showthread.php?t=7306066,,,,,
lgtbi,2023,9415357,38,38,2023-01-17 23:33:00,2023-01-18 02:37:00,El niño que fue criado como una niña - Caso de David Reimer,https://forocoches.com/foro/showthread.php?t=9415357,identidad_sexual_david_reimer,"Debate explícito sobre identidad sexual, transexualidad, intersexualidad y género.",False,busqueda_externa_controlada,lote_21
lgtbi,2023,9424474,5,4,2023-01-26 00:39:00,2023-01-26 02:06:00,Perder la virginidad sin perder un solo estereotipo,https://forocoches.com/foro/showthread.php?t=9424474,diversidad_sexual_experiencias_intimas,"El contenido inicial aborda experiencias homosexuales, bisexuales, pansexuales y lesbianas relacionadas con la sexualidad.",False,busqueda_externa_controlada,lote_23
lgtbi,2023,9472060,21,19,2023-03-10 20:29:00,2023-03-10 20:47:00,Las empresas con más de 50 empleados tienen un año para implantar un plan LGTBI,https://forocoches.com/foro/showthread.php?t=9472060,,,,,
lgtbi,2023,9488478,41,34,2023-03-25 21:47:00,2023-03-25 23:16:00,6 presos asturianos se hacen mujer y cambian de módulo,https://forocoches.com/foro/showthread.php?t=9488478,ley_trans_prisiones_autodeterminacion,"Debate central sobre autodeterminación de género, ley trans y asignación de módulo penitenciario.",False,busqueda_externa_controlada,lote_23
lgtbi,2023,9547665,28,26,2023-05-18 16:41:00,2023-05-18 22:12:00,Jorgeja y el tucán lo confirman: si eres hombre no votes a la izquierda,https://forocoches.com/foro/showthread.php?t=9547665,homosexualidad_voto_matrimonio,"Debate sobre orientación sexual, voto, matrimonio homosexual y derechos civiles.",False,busqueda_externa_controlada,lote_21
lgtbi,2023,9644836,16,15,2023-08-09 10:57:00,2023-08-18 11:17:00,Un preso se autodetermina mujer y embaraza a otra interna tras ser enviado al módulo femenino,https://forocoches.com/foro/showthread.php?t=9644836,identidad_trans_sistema_penitenciario,"Debate explícito sobre identidad trans, cambio registral y ubicación penitenciaria.",False,busqueda_externa_controlada,lote_21
lgtbi,2023,9677912,80,67,2023-09-06 17:11:00,2023-10-05 23:43:00,Podemos quiere que Irene Montero siga como ministra de Igualdad,https://forocoches.com/foro/showthread.php?t=9677912,,,,,
lgtbi,2023,9730181,160,94,2023-10-23 16:30:00,2023-10-25 23:46:00,Si te molesta el lenguaje inclusivo de Spider-Man 2... (Hobby Consolas),https://forocoches.com/foro/showthread.php?t=9730181,lenguaje_inclusivo_identidad_no_binaria,"Debate explícito sobre personas no binarias, pronombres, representación homosexual e identidad de género.",False,busqueda_externa_controlada,lote_23
lgtbi,2023,9739698,16,15,2023-10-31 19:19:00,2023-11-03 15:00:00,"La Sanidad Canaria condenada a pagar 20.737,10 euros a una persona trans",https://forocoches.com/foro/showthread.php?t=9739698,sanidad_trans_faloplastia,"Debate sobre atención sanitaria trans, faloplastia y financiación pública.",False,busqueda_externa_controlada,lote_22
lgtbi,2023,9755282,148,120,2023-11-13 22:24:00,2023-11-16 15:51:00,Cagada de Ayuso modificando las leyes Trans,https://forocoches.com/foro/showthread.php?t=9755282,legislacion_trans_madrid,Debate explícito sobre la modificación de las leyes trans de la Comunidad de Madrid.,False,busqueda_externa_controlada,lote_22
lgtbi,2023,9763018,91,88,2023-11-20 13:59:00,2023-11-20 19:44:00,Ángela Pam: recopilación de políticas de Igualdad y avances LGTBI,https://forocoches.com/foro/showthread.php?t=9763018,,,,,
lgtbi,2023,9810719,155,137,2023-12-31 08:00:00,2023-12-31 21:26:00,¿Es transfobia que un hetero prefiera a una mujer cis?,https://forocoches.com/foro/showthread.php?t=9810719,transfobia_preferencias_sexuales,"Debate explícito sobre mujeres trans, preferencias sexuales, orientación sexual y transfobia.",False,busqueda_externa_controlada,lote_22
