tema,anio_objetivo,id_hilo,titulo_resultado,url_hilo,fuente_descubrimiento,consulta_descubrimiento,lote_descubrimiento,criterio_inclusion,subtema_preliminar,requiere_revision_tematica,origen_candidato,lote
inmigracion,2023,9790242,Delincuencia es igual a inmigración,https://forocoches.com/foro/showthread.php?t=9790242,buscador_web,"site:forocoches.com/foro/showthread.php ""Delincuencia es igual a inmigración""",ampliacion_11,"Debate explícito sobre la relación percibida entre inmigración, delincuencia, barrios multiculturales y seguridad.",inmigracion_delincuencia_seguridad,False,,
inmigracion,2023,9726464,Interior traslada a Huesca a 200 migrantes llegados desde Canarias,https://forocoches.com/foro/showthread.php?t=9726464,buscador_web,site:forocoches.com/foro/showthread.php migrantes Canarias Huesca 2023,ampliacion_11,"Debate central sobre traslado de migrantes desde Canarias, acogida, coordinación institucional y distribución territorial.",traslado_acogida_distribucion_territorial,False,,
inmigracion,2023,9712540,¿Por qué llegan ahora los CAYUCOS a EL HIERRO?,https://forocoches.com/foro/showthread.php?t=9712540,buscador_web,"site:forocoches.com/foro/showthread.php ""cayucos"" ""El Hierro"" 2023",ampliacion_12,"Debate explícito sobre rutas migratorias africanas, cayucos, mafias, devoluciones y llegadas a Canarias.",ruta_canaria_cayucos_origenes,False,,
inmigracion,2023,9507733,¿Tan complicado es contratar trabajadores extranjeros?,https://forocoches.com/foro/showthread.php?t=9507733,buscador_web,"site:forocoches.com/foro/showthread.php ""trabajadores extranjeros"" 2023",ampliacion_12,"Debate sobre inmigración laboral legal, permisos de residencia, contratación, escasez de trabajadores y regularización.",inmigracion_laboral_contratacion_legal,False,,
inmigracion,2023,9415175,Ucranianos en España,https://forocoches.com/foro/showthread.php?t=9415175,buscador_web,"site:forocoches.com/foro/showthread.php ""Ucranianos en España"" 2023",ampliacion_12,"Debate explícito sobre refugiados ucranianos en España, ayudas, vivienda, trabajo y diferencias socioeconómicas.",refugiados_ucranianos_acogida,False,,
inmigracion,2023,9484087,Gobierno elimina requisito del empadronamiento para acceder a las prestaciones,https://forocoches.com/foro/showthread.php?t=9484087,buscador_web,site:forocoches.com/foro/showthread.php empadronamiento prestaciones extranjeros 2023,ampliacion_12,El mensaje inicial plantea expresamente el acceso de personas extranjeras a ayudas sin requisito de empadronamiento.,extranjeros_prestaciones_empadronamiento,True,,
inmigracion,2023,9423437,En búsqueda de trabajo (arraigo social),https://forocoches.com/foro/showthread.php?t=9423437,buscador_web,"site:forocoches.com/foro/showthread.php ""arraigo social"" trabajo 2023",ampliacion_12,"Caso práctico sobre una persona migrante en situación irregular, búsqueda de empleo, contrato laboral y arraigo social.",arraigo_social_empleo_regularizacion,False,,
inmigracion,2023,9747146,¿Cuál de los siguientes problemas de España te preocupa más?,https://forocoches.com/foro/showthread.php?t=9747146,buscador_web,"site:forocoches.com/foro/showthread.php ""problemas de España"" inmigrantes MENAS 2023",ampliacion_13,"El resultado indexado contiene un debate sustancial sobre inmigración, MENAS, empleo, vivienda, salarios y acceso a ayudas, pero el planteamiento inicial es más general.",inmigracion_problemas_sociales_economia,True,,
lgtbi,2015,4407356,Mañana voy a Chueca,https://forocoches.com/foro/showthread.php?t=4407356,buscador_web,site:forocoches.com/foro/showthread.php Chueca orgullo gay 2015,ampliacion_14,"Debate explícito sobre Chueca, el Orgullo, ambiente LGTBI, prejuicios, visibilidad y estereotipos sobre homosexuales.",orgullo_chueca_visibilidad_estereotipos,False,,
lgtbi,2015,4532333,Javier Maroto se ha casado esta mañana con su novio en el Ayuntamiento de Vitoria,https://forocoches.com/foro/showthread.php?t=4532333,buscador_web,"site:forocoches.com/foro/showthread.php ""Javier Maroto"" novio matrimonio 2015",ampliacion_14,"Debate sobre matrimonio entre personas del mismo sexo, orientación sexual, aceptación social y posición política.",matrimonio_homosexual_politica,False,,
lgtbi,2015,4377160,El duro desafío de los musulmanes que abandonan el Islam,https://forocoches.com/foro/showthread.php?t=4377160,buscador_web,"site:forocoches.com/foro/showthread.php ""2015"" homosexual ""salir del armario""",ampliacion_15,"El mensaje inicial incluye el testimonio de un joven homosexual criado en un entorno religioso conservador, con rechazo, identidad y salida del armario. El hilo es multitemático y requiere comprobar el peso real de LGTBI.",homosexualidad_religion_rechazo_familiar,True,,
lgtbi,2015,4195631,"""LAVADO DE CEREBRO 1"" - La paradoja de la igualdad",https://forocoches.com/foro/showthread.php?t=4195631,,,,"Debate sobre identidad de género, teoría queer y transexualidad.",identidad_genero_teoria_queer,True,busqueda_externa_controlada,lote_16
lgtbi,2016,5029297,Así son los jóvenes gais de la derecha española,https://forocoches.com/foro/showthread.php?t=5029297,,,,"Debate explícito sobre jóvenes gais, orientación sexual e identidad política.",homosexualidad_identidad_politica,False,busqueda_externa_controlada,lote_17
lgtbi,2016,4771850,¿Es ForoCoches heteroflexible?,https://forocoches.com/foro/showthread.php?t=4771850,,,,"Debate explícito sobre bisexualidad, heteroflexibilidad y prácticas homosexuales.",orientacion_sexual_heteroflexibilidad,False,busqueda_externa_controlada,lote_17
lgtbi,2016,5103831,Comentemos estas noticias [Tema Serio],https://forocoches.com/foro/showthread.php?t=5103831,,,,Debate sobre la agresión y el robo sufridos por una persona transexual.,violencia_trans_agresion,False,busqueda_externa_controlada,lote_18
lgtbi,2016,5015696,¿Iríais al orgullo de Madrid?,https://forocoches.com/foro/showthread.php?t=5015696,,,,Debate explícito sobre la celebración del Orgullo LGTBI de Madrid.,orgullo_lgtbi_visibilidad,False,busqueda_externa_controlada,lote_18
lgtbi,2019,6993059,"Si no te sabes todos los géneros, eres un FATXA",https://forocoches.com/foro/showthread.php?t=6993059,,,,"Debate explícito sobre identidades trans, no binarias y diversidad de género.",identidades_trans_no_binarias,False,busqueda_externa_controlada,lote_19
lgtbi,2019,7232702,La NUEVA PELÍCULA de ISABEL COIXET +NWO +HOMOS +HETEROPATRIARCADO,https://forocoches.com/foro/showthread.php?t=7232702,,,,"Debate sobre una película centrada en una relación lésbica, matrimonio homosexual y persecución internacional.",representacion_lesbica_cine,False,busqueda_externa_controlada,lote_20
lgtbi,2019,7540396,Si Vox se moderase y no fuera ultracatólico sería la fuerza de derecha más votada,https://forocoches.com/foro/showthread.php?t=7540396,,,,"Discusión sobre matrimonio homosexual, adopción y posición política ante los derechos de gays y lesbianas.",matrimonio_adopcion_politica,True,busqueda_externa_controlada,lote_20
lgtbi,2019,6916505,La ciencia y sus avances en el conocimiento de la reencarnación,https://forocoches.com/foro/showthread.php?t=6916505,,,,"Debate que relaciona homosexualidad, bisexualidad e identidad sexual con explicaciones sobre la reencarnación.",creencias_orientacion_identidad,True,busqueda_externa_controlada,lote_20
lgtbi,2023,9415357,El niño que fue criado como una niña - Caso de David Reimer,https://forocoches.com/foro/showthread.php?t=9415357,,,,"Debate explícito sobre identidad sexual, transexualidad, intersexualidad y género.",identidad_sexual_david_reimer,False,busqueda_externa_controlada,lote_21
lgtbi,2023,9547665,Jorgeja y el tucán lo confirman: si eres hombre no votes a la izquierda,https://forocoches.com/foro/showthread.php?t=9547665,,,,"Debate sobre orientación sexual, voto, matrimonio homosexual y derechos civiles.",homosexualidad_voto_matrimonio,False,busqueda_externa_controlada,lote_21
lgtbi,2023,9644836,Un preso se autodetermina mujer y embaraza a otra interna tras ser enviado al módulo femenino,https://forocoches.com/foro/showthread.php?t=9644836,,,,"Debate explícito sobre identidad trans, cambio registral y ubicación penitenciaria.",identidad_trans_sistema_penitenciario,False,busqueda_externa_controlada,lote_21
lgtbi,2023,9810719,¿Es transfobia que un hetero prefiera a una mujer cis?,https://forocoches.com/foro/showthread.php?t=9810719,,,,"Debate explícito sobre mujeres trans, preferencias sexuales, orientación sexual y transfobia.",transfobia_preferencias_sexuales,False,busqueda_externa_controlada,lote_22
lgtbi,2023,9739698,"La Sanidad Canaria condenada a pagar 20.737,10 euros a una persona trans",https://forocoches.com/foro/showthread.php?t=9739698,,,,"Debate sobre atención sanitaria trans, faloplastia y financiación pública.",sanidad_trans_faloplastia,False,busqueda_externa_controlada,lote_22
lgtbi,2023,9755282,Cagada de Ayuso modificando las leyes Trans,https://forocoches.com/foro/showthread.php?t=9755282,,,,Debate explícito sobre la modificación de las leyes trans de la Comunidad de Madrid.,legislacion_trans_madrid,False,busqueda_externa_controlada,lote_22
lgtbi,2023,9730181,Si te molesta el lenguaje inclusivo de Spider-Man 2... (Hobby Consolas),https://forocoches.com/foro/showthread.php?t=9730181,,,,"Debate explícito sobre personas no binarias, pronombres, representación homosexual e identidad de género.",lenguaje_inclusivo_identidad_no_binaria,False,busqueda_externa_controlada,lote_23
lgtbi,2023,9424474,Perder la virginidad sin perder un solo estereotipo,https://forocoches.com/foro/showthread.php?t=9424474,,,,"El contenido inicial aborda experiencias homosexuales, bisexuales, pansexuales y lesbianas relacionadas con la sexualidad.",diversidad_sexual_experiencias_intimas,False,busqueda_externa_controlada,lote_23
lgtbi,2023,9488478,6 presos asturianos se hacen mujer y cambian de módulo,https://forocoches.com/foro/showthread.php?t=9488478,,,,"Debate central sobre autodeterminación de género, ley trans y asignación de módulo penitenciario.",ley_trans_prisiones_autodeterminacion,False,busqueda_externa_controlada,lote_23
lgtbi,2016,5160233,Dos monjas se casan tras dejar el convento,https://forocoches.com/foro/showthread.php?t=5160233,,,,"El hilo trata explícitamente una relación lesbiana, el matrimonio entre dos mujeres y su relación con la doctrina religiosa.",lesbianas_matrimonio_religion,False,busqueda_externa_controlada,lote_24
lgtbi,2016,5135013,Rumor sobre Rajoy...,https://forocoches.com/foro/showthread.php?t=5135013,,,,"Debate explícito sobre homosexualidad, salida del armario, matrimonio igualitario y tratamiento político de la orientación sexual.",homosexualidad_politica_salida_armario,True,busqueda_externa_controlada,lote_25
